DateTime,stationId,temp_value,humidity_value,rainfall_value
2024-04-10T06:59:59,S107,28.46248144,78.67770531,0
2024-04-10T05:59:59,S107,28.46248144,78.67770531,0
2024-04-10T04:59:59,S107,28.46248144,78.67770531,0
2024-04-10T03:59:59,S107,28.46248144,78.67770531,0
2024-04-10T02:59:59,S107,28.46248144,78.67770531,0
2024-04-10T01:59:59,S107,28.46248144,78.67770531,0
2024-04-10T00:59:59,S107,28.46248144,78.67770531,0
2024-04-09T23:59:59,S107,28.46248144,78.67770531,0
2024-04-09T22:59:59,S107,28.46248144,78.67770531,0
2024-04-09T21:59:59,S107,28.46248144,78.67770531,0
2024-04-09T20:59:59,S107,28.46248144,78.67770531,0
2024-04-09T19:59:59,S107,28.46248144,78.67770531,0
2024-04-09T18:59:59,S107,28.46248144,78.67770531,0
2024-04-09T17:59:59,S107,28.46248144,78.67770531,0
2024-04-09T16:59:59,S107,28.46248144,78.67770531,0
2024-04-09T15:59:59,S107,28.46248144,78.67770531,0
2024-04-09T14:59:59,S107,28.46248144,78.67770531,0
2024-04-09T13:59:59,S107,28.46248144,78.67770531,0
2024-04-09T12:59:59,S107,28.46248144,78.67770531,0
2024-04-09T11:59:59,S107,28.46248144,78.67770531,0
2024-04-09T10:59:59,S107,28.46248144,78.67770531,0
2024-04-09T09:59:59,S107,28.46248144,78.67770531,0
2024-04-09T08:59:59,S107,28.46248144,78.67770531,0
2024-04-09T07:59:59,S107,28.46248144,78.67770531,0
2024-04-09T06:59:59,S107,28.46248144,78.67770531,0
2024-04-09T05:59:59,S107,28.46248144,78.67770531,0
2024-04-09T04:59:59,S107,28.46248144,78.67770531,0
2024-04-09T03:59:59,S107,28.46248144,78.67770531,0
2024-04-09T02:59:59,S107,28.46248144,78.67770531,0
2024-04-09T01:59:59,S107,28.46248144,78.67770531,0
2024-04-09T00:59:59,S107,28.46248144,78.67770531,0
2024-04-08T23:59:59,S107,28.46248144,78.67770531,0
2024-04-08T22:59:59,S107,28.46248144,78.67770531,0
2024-04-08T21:59:59,S107,28.46248144,78.67770531,0
2024-04-08T20:59:59,S107,28.46248144,78.67770531,0
2024-04-08T19:59:59,S107,28.46248144,78.67770531,0
2024-04-08T18:59:59,S107,28.46248144,78.67770531,0
2024-04-08T17:59:59,S107,28.46248144,78.67770531,0
2024-04-08T16:59:59,S107,28.46248144,78.67770531,0
2024-04-08T15:59:59,S107,28.46248144,78.67770531,0
2024-04-08T14:59:59,S107,28.46248144,78.67770531,0
2024-04-08T13:59:59,S107,28.46248144,78.67770531,0
2024-04-08T12:59:59,S107,28.46248144,78.67770531,0
2024-04-08T11:59:59,S107,28.46248144,78.67770531,0
2024-04-08T10:59:59,S107,28.46248144,78.67770531,0
2024-04-08T09:59:59,S107,28.46248144,78.67770531,0
2024-04-08T08:59:59,S107,28.46248144,78.67770531,0
2024-04-08T07:59:59,S107,28.46248144,78.67770531,0
2024-04-08T06:59:59,S107,28.46248144,78.67770531,0
2024-04-08T05:59:59,S107,28.46248144,78.67770531,0
2024-04-08T04:59:59,S107,28.46248144,78.67770531,0
2024-04-08T03:59:59,S107,28.46248144,78.67770531,0
2024-04-08T02:59:59,S107,28.46248144,78.67770531,0
2024-04-08T01:59:59,S107,28.46248144,78.67770531,0
2024-04-08T00:59:59,S107,28.46248144,78.67770531,0
2024-04-07T23:59:59,S107,28.46248144,78.67770531,0
2024-04-07T22:59:59,S107,28.46248144,78.67770531,0
2024-04-07T21:59:59,S107,28.46248144,78.67770531,0
2024-04-07T20:59:59,S107,28.46248144,78.67770531,0
2024-04-07T19:59:59,S107,28.46248144,78.67770531,0
