Taxi Available throughout SG,temp_value,humidity_value,rainfall_value,peak_period,Average Taxi Availability,IsWeekend,Hour
0.38044062,0.7721894,0.8406092,0.0,0.0,0.32517838,0.0,0.04347826
0.4615798,0.775148,0.8406092,0.0,0.0,0.32891607,0.0,0.0
0.4505642,0.7810651,0.81116754,0.0,1.0,0.4006116,0.0,1.0
0.58731866,0.7869823,0.77969545,0.0,1.0,0.35202175,0.0,0.95652175
0.43632457,0.79585797,0.7543148,0.0,1.0,0.3540605,0.0,0.9130435
0.6375604,0.80473375,0.7116751,0.0,1.0,0.425756,0.0,0.8695652
0.6061257,0.8254438,0.7137056,0.0,1.0,0.40672782,0.0,0.82608694
0.6047824,0.8609468,0.6416244,0.0,1.0,0.35779816,0.0,0.7826087
0.63460505,0.8816568,0.62639594,0.0,1.0,0.43085286,0.0,0.73913044
0.5913487,0.9023669,0.5411167,0.0,0.0,0.49405366,0.0,0.6956522
0.6332617,0.90828407,0.56852794,0.0,0.0,0.5090044,0.0,0.65217394
0.6252015,0.9053255,0.5837563,0.0,0.0,0.41624194,0.0,0.6086956
0.5967222,0.8846154,0.6365482,0.0,0.0,0.44886172,0.0,0.5652174
0.66415906,0.8786983,0.6274112,0.0,0.0,0.45803604,0.0,0.5217391
0.6209027,0.8727811,0.66903555,0.0,0.0,0.47196737,0.0,0.47826087
0.7101021,0.84319526,0.70456856,0.0,0.0,0.48284063,0.0,0.4347826
0.6501881,0.8106509,0.7817259,0.0,0.0,0.4614339,0.0,0.39130434
0.6209027,0.7781065,0.82436544,0.0,0.0,0.34862384,0.0,0.3478261
0.41966686,0.76035506,0.8538071,0.0,0.0,0.32653755,0.0,0.3043478
0.36835036,0.75739646,0.8527919,0.0,0.0,0.34964323,0.0,0.26086956
0.38339603,0.76035506,0.85177666,0.0,0.0,0.31838262,0.0,0.2173913
0.367007,0.7633136,0.86903554,0.0,0.0,0.34930342,0.0,0.17391305
0.3766792,0.7633136,0.86903554,0.0,0.0,0.35202175,0.0,0.13043478
0.37775388,0.7692308,0.8680203,0.0,0.0,0.31940198,0.0,0.08695652
0.34443846,0.7721894,0.8639594,0.0,0.0,0.2898403,0.0,0.04347826
0.36969373,0.7781065,0.86091375,0.0,0.0,0.25586137,0.0,0.0
0.44411606,0.7840237,0.8487309,0.0,0.0,0.30139312,1.0,1.0
0.45943043,0.7928994,0.8345177,0.0,0.0,0.29187906,1.0,0.95652175
0.3194519,0.79585797,0.82335025,0.0,0.0,0.25008494,1.0,0.9130435
0.39871037,0.8076923,0.7705584,0.0,0.0,0.2769283,1.0,0.8695652
0.4527136,0.79585797,0.8274112,0.0,0.0,0.37512743,1.0,0.82608694
0.5169264,0.7928994,0.87411165,0.0,0.0,0.35507986,1.0,0.7826087
0.42181623,0.7692308,0.94720817,0.0,0.0,0.30988786,1.0,0.73913044
0.41966686,0.84911245,0.78984773,0.0,0.0,0.36357456,1.0,0.6956522
0.4140247,0.9171598,0.60203046,0.0,0.0,0.3479443,1.0,0.65217394
0.4320258,0.9023669,0.6294416,0.0,0.0,0.35134217,1.0,0.6086956
0.50617945,0.9023669,0.63045686,0.0,1.0,0.39211687,1.0,0.5652174
0.4357872,0.89053255,0.6314721,0.0,1.0,0.35474005,1.0,0.5217391
0.4871037,0.8579882,0.68223345,0.0,1.0,0.39415562,1.0,0.47826087
0.51316494,0.8224852,0.7583756,0.0,1.0,0.3853211,1.0,0.4347826
0.4091886,0.7899409,0.8101523,0.0,0.0,0.35745835,1.0,0.39130434
0.39575496,0.7692308,0.84467,0.0,0.0,0.3401291,1.0,0.3478261
0.37909725,0.75739646,0.84974617,0.0,0.0,0.408087,1.0,0.3043478
0.33933368,0.75739646,0.84974617,0.0,0.0,0.36085626,1.0,0.26086956
0.34927458,0.75739646,0.835533,0.0,0.0,0.33876997,1.0,0.2173913
0.3315422,0.75739646,0.8213198,0.0,0.0,0.30037376,1.0,0.17391305
0.34040838,0.76035506,0.82538074,0.0,0.0,0.32042134,1.0,0.13043478
0.3619022,0.7662722,0.8172589,0.0,0.0,0.29561672,1.0,0.08695652
0.39387426,0.7692308,0.8121827,0.0,0.0,0.23105675,1.0,0.04347826
0.28156906,0.7781065,0.7939086,0.0,0.0,0.24906558,1.0,0.0
0.38823214,0.7810651,0.7888325,0.0,0.0,0.22086307,1.0,1.0
0.3954863,0.7840237,0.77461934,0.0,0.0,0.23683316,1.0,0.95652175
0.39817303,0.7899409,0.76345176,0.0,0.0,0.24770643,1.0,0.9130435
0.4626545,0.79585797,0.7522842,0.0,0.0,0.28440368,1.0,0.8695652
0.49274585,0.80177516,0.7451777,0.0,0.0,0.27862725,1.0,0.82608694
0.38984418,0.8106509,0.71269035,0.0,0.0,0.2738702,1.0,0.7826087
0.34497583,0.8254438,0.6619289,0.0,0.0,0.28780156,1.0,0.73913044
0.40005374,0.8284024,0.6680203,0.0,0.0,0.34386683,1.0,0.6956522
0.49086514,0.8372781,0.70558375,0.0,0.0,0.40876657,1.0,0.65217394
0.51531434,0.8816568,0.6527919,0.0,0.0,0.39653414,1.0,0.6086956
0.6066631,0.8786983,0.6639594,0.0,1.0,0.4906558,1.0,0.5652174
0.6023643,0.8639054,0.684264,0.0,1.0,0.45158002,1.0,0.5217391
0.57415366,0.84911245,0.67005074,0.0,1.0,0.5005097,1.0,0.47826087
0.6665771,0.831361,0.7015228,0.0,1.0,0.566089,1.0,0.4347826
0.5897367,0.79585797,0.7675127,0.0,0.0,0.4481821,1.0,0.39130434
0.51719505,0.775148,0.7817259,0.0,0.0,0.4492015,1.0,0.3478261
0.46937132,0.7662722,0.7837563,0.0,0.0,0.4077472,1.0,0.3043478
0.34578183,0.7633136,0.7949239,0.0,0.0,0.35202175,1.0,0.26086956
0.31488448,0.75739646,0.8040609,0.0,0.0,0.28712198,1.0,0.2173913
0.23911875,0.7633136,0.7949239,0.0,0.0,0.23683316,1.0,0.17391305
0.30037615,0.7633136,0.7949239,0.0,0.0,0.261298,1.0,0.13043478
0.35276732,0.7662722,0.78680205,0.0,0.0,0.26061842,1.0,0.08695652
0.29527137,0.7662722,0.7928934,0.0,0.0,0.22222222,1.0,0.04347826
0.31649652,0.7662722,0.7888325,0.0,0.0,0.21202855,1.0,0.0
0.3944116,0.7692308,0.7807107,0.0,1.0,0.2891607,0.0,1.0
0.5416443,0.775148,0.7624365,0.0,1.0,0.32721713,0.0,0.95652175
0.54648036,0.7810651,0.738071,0.0,1.0,0.34522596,0.0,0.9130435
0.5564213,0.7869823,0.71776646,0.0,1.0,0.40502888,0.0,0.8695652
0.6356797,0.79881656,0.680203,0.0,1.0,0.38090384,0.0,0.82608694
0.5381515,0.8165681,0.61015224,0.0,1.0,0.37274888,0.0,0.7826087
0.5053735,0.831361,0.66700506,0.0,1.0,0.47298676,0.0,0.73913044
0.5317034,0.8284024,0.6680203,0.0,0.0,0.54298335,0.0,0.6956522
0.6203654,0.8579882,0.635533,0.0,0.0,0.54264355,0.0,0.65217394
0.5475551,0.8639054,0.622335,0.0,0.0,0.43323138,0.0,0.6086956
0.47796884,0.8639054,0.64771575,0.0,0.0,0.41658172,0.0,0.5652174
0.53573346,0.84319526,0.6659898,0.0,0.0,0.3703704,0.0,0.5217391
0.58113915,0.8402367,0.6639594,0.0,0.0,0.48861706,0.0,0.47826087
0.67678666,0.8284024,0.68223345,0.0,0.0,0.64288145,0.0,0.4347826
0.7342827,0.8076923,0.71776646,0.0,0.0,0.7149167,0.0,0.39130434
0.89817303,0.7721894,0.7675127,0.0,0.0,0.66156983,0.0,0.3478261
0.6958624,0.7366864,0.81421316,0.0,0.0,0.52701324,0.0,0.3043478
0.39333692,0.7278107,0.82335025,0.0,0.0,0.4335712,0.0,0.26086956
0.37694788,0.7307693,0.822335,0.0,0.0,0.37071013,0.0,0.2173913
0.3551854,0.7337278,0.82436544,0.0,0.0,0.33876997,0.0,0.17391305
0.3600215,0.739645,0.82335025,0.0,0.0,0.33265376,0.0,0.13043478
0.3589468,0.7426036,0.82335025,0.0,0.0,0.30479103,0.0,0.08695652
0.39871037,0.75147927,0.8101523,0.0,0.0,0.32585797,0.0,0.04347826
0.41805482,0.7633136,0.7827411,0.0,0.0,0.29187906,0.0,0.0
0.48038688,0.7692308,0.7756345,0.0,1.0,0.3119266,0.0,1.0
0.41429338,0.7840237,0.73197967,0.0,1.0,0.2680938,0.0,0.95652175
0.30924234,0.7928994,0.71269035,0.0,1.0,0.2511043,0.0,0.9130435
0.37103707,0.7928994,0.7208122,0.0,1.0,0.2572205,0.0,0.8695652
0.41053197,0.79585797,0.7472081,0.0,1.0,0.32212028,0.0,0.82608694
0.4457281,0.8165681,0.68223345,0.0,1.0,0.32415903,0.0,0.7826087
0.41671145,0.8402367,0.6467005,0.0,1.0,0.29187906,0.0,0.73913044
0.36029017,0.8372781,0.63350254,0.0,0.0,0.30173293,0.0,0.6956522
0.37103707,0.84615386,0.6030457,0.0,0.0,0.30207273,0.0,0.65217394
0.3688877,0.8372781,0.63350254,0.0,0.0,0.38939857,0.0,0.6086956
0.5037614,0.8550296,0.622335,0.0,0.0,0.49201494,0.0,0.5652174
0.45620635,0.84615386,0.6416244,0.0,0.0,0.39143732,0.0,0.5217391
0.41241267,0.8402367,0.6639594,0.0,0.0,0.5168196,0.0,0.47826087
0.5354648,0.7899409,0.7360406,0.0,0.0,0.56405026,0.0,0.4347826
0.5196131,0.7899409,0.75126904,0.0,0.0,0.5891947,0.0,0.39130434
0.54486835,0.76035506,0.7837563,0.0,0.0,0.5922528,0.0,0.3478261
0.46695325,0.74852073,0.81421316,0.0,0.0,0.50390756,0.0,0.3043478
0.35357335,0.7426036,0.8263959,0.0,0.0,0.37071013,0.0,0.26086956
0.30225685,0.7426036,0.8213198,0.0,0.0,0.34522596,0.0,0.2173913
0.29446533,0.7455622,0.813198,0.0,0.0,0.2701325,0.0,0.17391305
0.22461042,0.7455622,0.8071066,0.0,0.0,0.23105675,0.0,0.13043478
0.2987641,0.75443786,0.7939086,0.0,0.0,0.23037717,0.0,0.08695652
0.28989792,0.7633136,0.79187816,0.0,0.0,0.27930683,0.0,0.04347826
0.28747985,0.7662722,0.78781724,0.0,0.0,0.23955148,0.0,0.0
0.38393337,0.7721894,0.77969545,0.0,1.0,0.25212368,0.0,1.0
0.38984418,0.7721894,0.7614213,0.0,1.0,0.24091063,0.0,0.95652175
0.29903278,0.7692308,0.7837563,0.0,1.0,0.2133877,0.0,0.9130435
0.33396024,0.7692308,0.7847716,0.0,1.0,0.22595991,0.0,0.8695652
0.34927458,0.7899409,0.73705584,0.0,1.0,0.30207273,0.0,0.82608694
0.36566362,0.7928994,0.7431472,0.0,1.0,0.33503228,0.0,0.7826087
0.34658787,0.80473375,0.7116751,0.0,1.0,0.26061842,0.0,0.73913044
0.3116604,0.80473375,0.72690356,0.0,0.0,0.2582399,0.0,0.6956522
0.29231596,0.8136095,0.7106599,0.0,0.0,0.27149168,0.0,0.65217394
0.3105857,0.8254438,0.6994924,0.0,0.0,0.28168535,0.0,0.6086956
0.30709296,0.8284024,0.6629442,0.0,0.0,0.36493373,0.0,0.5652174
0.3027942,0.831361,0.69238573,0.0,0.0,0.31668365,0.0,0.5217391
0.30306286,0.8372781,0.6903553,0.0,0.0,0.36187562,0.0,0.47826087
0.33906502,0.80473375,0.7492386,0.0,0.0,0.41760108,0.0,0.4347826
0.3578721,0.79881656,0.7461929,0.0,0.0,0.43798843,0.0,0.39130434
